type,FT Ada,FT Babbage,FT Curie,FT Davinci,CC 3.5: S,CC 3.5: M,CC 3.5: L,CC 4: S,CC 4: M,CC 4: L
cost (cents) - median,0.02¢,0.02¢,0.12¢,1.18¢,0.14¢,0.16¢,0.22¢,3.74¢,4.65¢,6.66¢
cost (cents) - p80,0.03¢,0.04¢,0.18¢,2.27¢,0.15¢,0.18¢,0.24¢,4.04¢,4.97¢,6.91¢
cost (cents) - average,0.02¢,0.03¢,0.13¢,1.39¢,0.14¢,0.16¢,0.22¢,3.78¢,4.69¢,6.69¢
time (seconds) - median,1.01,0.96,1.22,2.84,10.77,9.12,5.78,13.80,14.83,14.27
time (seconds) - p80,1.45,1.85,2.06,5.04,12.95,12.31,34.85,21.20,31.36,19.68
time (seconds) - average,1.20,1.33,1.36,3.10,11.21,8.76,11.91,14.25,17.94,15.41
score - median,2.00,2.00,2.00,2.00,1.00,1.00,5.00,5.00,5.00,5.00
score - p80,3.00,4.00,4.00,4.00,5.00,5.00,5.00,5.00,5.00,5.00
score - average,2.24,2.35,2.59,2.71,2.35,2.53,4.29,4.65,4.82,5.00
